"TIME","GEO","SEX","UNIT","Value","Flag and Footnotes"
"2020W01","AT111","Insgesamt","Anzahl","11","p"
"2020W01","AT111","Männer","Anzahl","2","p"
"2020W01","AT111","Frauen","Anzahl","9","p"
"2020W01","AT112","Insgesamt","Anzahl","28","p"
"2020W01","AT112","Männer","Anzahl","15","p"
"2020W01","AT112","Frauen","Anzahl","13","p"
"2020W01","AT113","Insgesamt","Anzahl","14","p"
"2020W01","AT113","Männer","Anzahl","6","p"
"2020W01","AT113","Frauen","Anzahl","8","p"
"2020W01","AT121","Insgesamt","Anzahl","52","p"
"2020W01","AT121","Männer","Anzahl","28","p"
"2020W01","AT121","Frauen","Anzahl","24","p"
"2020W01","AT122","Insgesamt","Anzahl","57","p"
"2020W01","AT122","Männer","Anzahl","28","p"
"2020W01","AT122","Frauen","Anzahl","29","p"
"2020W01","AT123","Insgesamt","Anzahl","33","p"
"2020W01","AT123","Männer","Anzahl","15","p"
"2020W01","AT123","Frauen","Anzahl","18","p"
"2020W01","AT124","Insgesamt","Anzahl","39","p"
"2020W01","AT124","Männer","Anzahl","17","p"
"2020W01","AT124","Frauen","Anzahl","22","p"
"2020W01","AT125","Insgesamt","Anzahl","36","p"
"2020W01","AT125","Männer","Anzahl","17","p"
"2020W01","AT125","Frauen","Anzahl","19","p"
"2020W01","AT126","Insgesamt","Anzahl","66","p"
"2020W01","AT126","Männer","Anzahl","33","p"
"2020W01","AT126","Frauen","Anzahl","33","p"
"2020W01","AT127","Insgesamt","Anzahl","62","p"
"2020W01","AT127","Männer","Anzahl","32","p"
"2020W01","AT127","Frauen","Anzahl","30","p"
"2020W01","AT130","Insgesamt","Anzahl","302","p"
"2020W01","AT130","Männer","Anzahl","133","p"
"2020W01","AT130","Frauen","Anzahl","169","p"
"2020W01","AT211","Insgesamt","Anzahl","52","p"
"2020W01","AT211","Männer","Anzahl","22","p"
"2020W01","AT211","Frauen","Anzahl","30","p"
"2020W01","AT212","Insgesamt","Anzahl","25","p"
"2020W01","AT212","Männer","Anzahl","10","p"
"2020W01","AT212","Frauen","Anzahl","15","p"
"2020W01","AT213","Insgesamt","Anzahl","34","p"
"2020W01","AT213","Männer","Anzahl","15","p"
"2020W01","AT213","Frauen","Anzahl","19","p"
"2020W01","AT221","Insgesamt","Anzahl","69","p"
"2020W01","AT221","Männer","Anzahl","36","p"
"2020W01","AT221","Frauen","Anzahl","33","p"
"2020W01","AT222","Insgesamt","Anzahl","9","p"
"2020W01","AT222","Männer","Anzahl","3","p"
"2020W01","AT222","Frauen","Anzahl","6","p"
"2020W01","AT223","Insgesamt","Anzahl","48","p"
"2020W01","AT223","Männer","Anzahl","19","p"
"2020W01","AT223","Frauen","Anzahl","29","p"
"2020W01","AT224","Insgesamt","Anzahl","55","p"
"2020W01","AT224","Männer","Anzahl","25","p"
"2020W01","AT224","Frauen","Anzahl","30","p"
"2020W01","AT225","Insgesamt","Anzahl","42","p"
"2020W01","AT225","Männer","Anzahl","23","p"
"2020W01","AT225","Frauen","Anzahl","19","p"
"2020W01","AT226","Insgesamt","Anzahl","27","p"
"2020W01","AT226","Männer","Anzahl","13","p"
"2020W01","AT226","Frauen","Anzahl","14","p"
"2020W01","AT311","Insgesamt","Anzahl","51","p"
"2020W01","AT311","Männer","Anzahl","24","p"
"2020W01","AT311","Frauen","Anzahl","27","p"
"2020W01","AT312","Insgesamt","Anzahl","104","p"
"2020W01","AT312","Männer","Anzahl","55","p"
"2020W01","AT312","Frauen","Anzahl","49","p"
"2020W01","AT313","Insgesamt","Anzahl","38","p"
"2020W01","AT313","Männer","Anzahl","18","p"
"2020W01","AT313","Frauen","Anzahl","20","p"
"2020W01","AT314","Insgesamt","Anzahl","32","p"
"2020W01","AT314","Männer","Anzahl","15","p"
"2020W01","AT314","Frauen","Anzahl","17","p"
"2020W01","AT315","Insgesamt","Anzahl","47","p"
"2020W01","AT315","Männer","Anzahl","21","p"
"2020W01","AT315","Frauen","Anzahl","26","p"
"2020W01","AT321","Insgesamt","Anzahl","3","p"
"2020W01","AT321","Männer","Anzahl","2","p"
"2020W01","AT321","Frauen","Anzahl","1","p"
"2020W01","AT322","Insgesamt","Anzahl","26","p"
"2020W01","AT322","Männer","Anzahl","13","p"
"2020W01","AT322","Frauen","Anzahl","13","p"
"2020W01","AT323","Insgesamt","Anzahl","59","p"
"2020W01","AT323","Männer","Anzahl","31","p"
"2020W01","AT323","Frauen","Anzahl","28","p"
"2020W01","AT331","Insgesamt","Anzahl","11","p"
"2020W01","AT331","Männer","Anzahl","2","p"
"2020W01","AT331","Frauen","Anzahl","9","p"
"2020W01","AT332","Insgesamt","Anzahl","50","p"
"2020W01","AT332","Männer","Anzahl","20","p"
"2020W01","AT332","Frauen","Anzahl","30","p"
"2020W01","AT333","Insgesamt","Anzahl","8","p"
"2020W01","AT333","Männer","Anzahl","4","p"
"2020W01","AT333","Frauen","Anzahl","4","p"
"2020W01","AT334","Insgesamt","Anzahl","16","p"
"2020W01","AT334","Männer","Anzahl","11","p"
"2020W01","AT334","Frauen","Anzahl","5","p"
"2020W01","AT335","Insgesamt","Anzahl","38","p"
"2020W01","AT335","Männer","Anzahl","22","p"
"2020W01","AT335","Frauen","Anzahl","16","p"
"2020W01","AT341","Insgesamt","Anzahl","13","p"
"2020W01","AT341","Männer","Anzahl","7","p"
"2020W01","AT341","Frauen","Anzahl","6","p"
"2020W01","AT342","Insgesamt","Anzahl","54","p"
"2020W01","AT342","Männer","Anzahl","32","p"
